,DatePC,TimePC,AirTemperaturedegC,CO2ppm,CellPressureLi820kPa,GPSDate,GPSTime,GPSLatdeg,GPSLondeg,GPSHeightm,GPSHorizontalPosErrorm,GPSSpeedkmh,GPSStatus,FlagPoints
2,14/09/11,14:17:49,-9999.0,-9999.0,-9999.0,14/09/11,14:13:57,49.2895,-123.1297666666667,50.0,7,13,3D GPS,
3,14/09/11,14:17:50,-9999.0,-9999.0,-9999.0,14/09/11,14:13:58,49.289516666666664,-123.12980000000002,50.0,7,13,3D GPS,
4,14/09/11,14:17:51,-9999.0,-9999.0,-9999.0,14/09/11,14:13:59,49.28955,-123.12983333333334,50.0,7,13,3D GPS,
5,14/09/11,14:17:52,-9999.0,-9999.0,-9999.0,14/09/11,14:14:00,49.28956666666667,-123.12986666666666,50.0,7,13,3D GPS,
46,14/09/11,14:18:33,17.95,391.6,63.27,14/09/11,14:14:41,-9999.0,-9999.0,-9999.0,-10000,-10000,Satellite connection lost,End sampling at Site C (Georgia St.)
56,14/09/11,14:18:43,18.33,393.6,63.27,14/09/11,14:14:51,49.28866666666667,-123.12899999999999,51.0,12,0,2D GPS,
57,14/09/11,14:18:44,18.33,394.0,63.26,14/09/11,14:14:52,49.28866666666667,-123.12899999999999,51.0,12,0,2D GPS,
58,14/09/11,14:18:45,18.38,392.6,63.26,14/09/11,14:14:53,49.28866666666667,-123.12899999999999,51.0,12,0,2D GPS,
59,14/09/11,14:18:46,18.43,393.0,63.27,14/09/11,14:14:54,49.28866666666667,-123.12899999999999,51.0,12,0,2D GPS,
60,14/09/11,14:18:47,18.46,392.6,63.27,14/09/11,14:14:55,49.28866666666667,-123.12901666666669,51.0,12,0,2D GPS,
61,14/09/11,14:18:48,18.49,393.3,63.27,14/09/11,14:14:56,49.28866666666667,-123.12901666666669,51.0,12,0,2D GPS,
62,14/09/11,14:18:49,18.58,392.3,63.27,14/09/11,14:14:57,49.28866666666667,-123.12901666666669,51.0,12,0,2D GPS,
63,14/09/11,14:18:50,18.56,392.6,63.27,14/09/11,14:14:58,49.28866666666667,-123.12901666666669,51.0,12,0,2D GPS,
64,14/09/11,14:18:51,18.63,393.0,63.27,14/09/11,14:14:59,49.28866666666667,-123.12901666666669,51.0,12,0,2D GPS,
65,14/09/11,14:18:52,18.77,392.6,63.27,14/09/11,14:15:00,49.28866666666667,-123.12901666666669,51.0,12,0,2D GPS,
66,14/09/11,14:18:53,18.97,392.6,63.27,14/09/11,14:15:01,49.28866666666667,-123.12903333333331,51.0,12,0,2D GPS,
67,14/09/11,14:18:54,19.06,393.0,63.27,14/09/11,14:15:02,49.28866666666667,-123.12903333333331,51.0,12,0,2D GPS,
68,14/09/11,14:18:55,19.05,393.6,63.27,14/09/11,14:15:03,49.28866666666667,-123.12903333333331,51.0,12,0,2D GPS,
69,14/09/11,14:18:56,19.02,393.3,63.27,14/09/11,14:15:04,49.28866666666667,-123.12903333333331,51.0,12,0,2D GPS,
70,14/09/11,14:18:57,18.98,393.3,63.27,14/09/11,14:15:05,49.28866666666667,-123.12903333333331,51.0,12,0,2D GPS,
71,14/09/11,14:18:58,18.94,396.4,63.27,14/09/11,14:15:06,49.28866666666667,-123.12903333333331,51.0,12,0,2D GPS,
